"Polarity","Tweet"
"positive","jgn heran korupsi menjadi habis itu yg di ajarkan ediologi jadi bahan taruhan"
"positive","untuk yg nyoblos hari ini"
"positive","jujur adil tegas dan tidak korupsi"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"negative","yang nyata korupsi rssw diskresi ahok miliar dipetieskan polisi"
"positive","pasti kami kami mau paslon yg dibiayai rakyat krn mau jd pelayan masyarakat dki yuuuk badja aja yg bersih tran…"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","iyaa tapi justru kpk ga beresnya itu yang korupsi dibilang bersih belum tau ada sejarahnya yg bersih dituduh korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","yuk siap ke tps pilih pemimpin yg jjur bs membrantas korupsi jgn salah pilih salam <U+270C> jari"
"positive","hari ini khusus utk warga dki fokus saja pada pencoblosan agar jakarta bebas korupsi betul nyata berubah aman dan d…"
"negative","hary tanoe disebut lobi kasus korupsi saham grup mnc amblas"
"negative","iya jgn pilih partai dan caleg nya yg msk penjara krn korupsi hambalang catet"
"negative","besok kami akan karena seperti kami anti korupsi"
"positive","dlm kasus antasari aku dukung pa bongkar semua yg sdh menyengsarakan anda kelicikan pencitraan anti korupsi pemimpin lebay"
"neutral","katakan tidak pada hal korupsi"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"negative","dugan korupsi rp m sekretaris kpu kabupaten blitar dpo beritasatu"
"negative","katakan tidak padahal korupsi ngakak"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"positive","wahai rakyatku mari kita sarapan pagi terus pilihlah calon yg gak berpotensi korupsi tps tps menanti anda jangan sia siakan kesempatan ini"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"positive","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"positive","sepeserpun anas korupsi hambalang anas digantung di monas sumpah ini tidak terbukti anda wajib membayarnya…"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F> …"
"negative","wahai rakyatku mentri amp anggota demokrat ditangkap korupsi trs gw d suruh milih anaknya gile loo"
"negative","selamat pagiiii pilih yg anti korupsi bela demokrasi menjaga nkri supaya kita gak dikatain kafir lagi <U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F><U+270C><U+FE0F>"
"negative","dengas wajah memelas kepada rakyat untuk dipilih lalu membantai dengan berbagai korupsi dekade sudah"
"positive","wahai warga jakarta apakah saya tidak boleh minta mayoritas warga coblos yg mau kerja dan bersih dari korupsi memprokla…"
"negative","ga boleh curiga ga boleh korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","yang nyata korupsi rssw diskresi ahok miliar dipetieskan polisi"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","korupsi wisma hambalang amp century itu restu siapa yakk"
"positive","ada yg korupsi 
ada yg jaim 
tapi yg lebih bahaya dari semua ialah yg nafsu berkuasa jadi apapun boleh asal dia menang st…"
"neutral","entah knp saya trlalu apatis terhadap pemilu ini tiap pemilu berganti pemimpin negara ini gitu aja korupsi jln juga"
"positive","biar gerimis atau hujan tetap berangkat ya sayang suaramu kalau golput pilih yang jujur dan anti korupsi <U+270C>"
"negative","polisi harus bisa menjelaskan ini uang pidana apa 
korupsi 
narkoba 
atau apa 
kok donasi pengajian tppu 
kok …"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"negative","antara anti korupsi vs pro korupsi"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","besok kami akan karena seperti kami anti korupsi"
"neutral","kenapa g skalian beralasan aulia pohan korupsi krna disuruh jokowi"
"negative","kasusnya korupsi knp menyalahkan sby yg vonis hakim knp menyalahkan sby"
"positive","pasti kami kami mau paslon yg dibiayai rakyat krn mau jd pelayan masyarakat dki yuuuk badja aja yg bersih tran…"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"negative","antasari azhar sebut hary tanoesoedibjo utusan cikeas soal lobi kasus korupsi besan sby"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","iya jgn pilih partai dan caleg nya yg msk penjara krn korupsi hambalang catet"
"negative","besok kami akan karena seperti kami anti korupsi"
"negative","antasari sebut sby kasus korupsi pajak sebut adik ipar jokowi"
"neutral","kalau semua korupsi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>"
"neutral","dia adalah orang yang membela hak kalian yang dirampok penjahat negara ahok berani berantas korupsi 

 https …"
"negative","jika bersyukurlah warga dki jakarta untuk jakarta kece dlm tahun ke depan yg penting birokrasi bobrok amp korupsi diberantas"
"neutral","jika sang kandidat sudah memulai dengan membayar suara rakyat pertanda pemimpin tersebut akan sulit cegah korupsi"
